Evaluation
Total Distance	1450.6469069699644
Used Vehicle Number	13

VehicleID	CustomerID
0	o-57-54-53-44-45-48-51-50-52-49-47-d
1	o-96-95-94-92-93-97-100-99-1-75-d
2	o-43-55-40-56-58-61-64-66-69-d
3	o-32-33-31-29-30-39-36-34-22-21-d
4	o-78-76-83-82-84-85-88-89-91-d
5	o-98-18-19-15-16-14-12-2-d
6	o-81-86-71-70-73-77-79-80-d
7	o-13-17-8-10-11-9-6-4-d
8	o-20-24-25-27-37-38-26-23-d
9	o-67-42-41-35-46-60-59-68-d
10	o-5-3-7-74-72-28-d
11	o-65-63-62-d
12	o-90-87-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
