Evaluation
Total Distance	1757.3541103693544
Used Vehicle Number	12

VehicleID	CustomerID
0	o-98-96-95-94-92-93-97-100-99-1-d
1	o-13-17-8-15-11-9-6-4-2-49-d
2	o-5-3-7-19-16-14-12-34-52-75-d
3	o-32-33-18-10-30-28-26-23-22-21-47-d
4	o-20-24-25-27-29-38-39-36-50-69-d
5	o-57-31-35-37-58-60-59-66-d
6	o-55-54-40-56-61-64-68-91-d
7	o-43-42-41-53-72-45-48-51-d
8	o-81-78-62-44-46-85-88-89-d
9	o-67-65-63-83-82-73-77-79-80-d
10	o-90-87-76-71-70-d
11	o-86-74-84-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
