Evaluation
Total Distance	1250.6013900951343
Used Vehicle Number	12

VehicleID	CustomerID
0	o-5-3-7-8-10-11-14-12-99-1-75-d
1	o-20-24-25-27-29-30-39-36-34-52-49-47-d
2	o-67-65-63-62-74-72-61-64-68-66-69-d
3	o-43-42-41-40-44-58-60-59-50-21-d
4	o-90-87-86-83-82-73-77-79-80-d
5	o-98-96-95-94-92-93-97-100-91-d
6	o-57-55-54-53-56-45-48-51-22-d
7	o-13-17-18-19-15-16-6-4-d
8	o-32-33-31-35-37-38-26-23-2-d
9	o-81-78-76-71-70-85-88-89-d
10	o-46-28-d
11	o-84-9-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
