Evaluation
Total Distance	2397.2336813565357
Used Vehicle Number	5

VehicleID	CustomerID
0	o-98-82-14-47-12-2-5-45-61-72-44-3-73-78-79-1-8-46-7-6-43-37-26-32-54-68-35-70-96-80-91-93-d
1	o-92-95-31-28-42-36-39-27-29-30-38-41-40-84-51-21-49-48-20-85-56-24-89-50-34-77-25-58-d
2	o-65-83-63-52-59-75-16-15-11-18-19-99-9-86-87-22-97-57-10-60-55-4-17-100-d
3	o-33-71-94-62-23-76-90-53-81-66-13-74-d
4	o-64-69-67-88-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
