Evaluation
Total Distance	2044.2883575331516
Used Vehicle Number	5

VehicleID	CustomerID
0	o-65-92-95-63-31-28-27-29-33-62-30-51-18-76-21-19-57-49-22-26-32-34-50-85-89-20-74-48-24-77-58-25-91-80-d
1	o-98-82-14-47-12-2-5-45-61-44-3-88-73-78-79-1-8-46-7-6-97-10-60-55-4-43-35-37-93-96-100-70-d
2	o-72-83-52-59-75-16-15-11-23-90-99-9-86-87-56-94-54-68-66-13-17-d
3	o-42-36-39-69-64-38-40-41-71-84-81-d
4	o-67-53-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
