Evaluation
Total Distance	2185.1314211673666
Used Vehicle Number	6

VehicleID	CustomerID
0	o-92-95-63-31-28-27-29-33-62-94-71-30-34-50-19-18-21-48-22-49-51-20-57-97-85-56-24-89-32-26-96-80-91-93-d
1	o-65-83-52-82-98-14-47-12-16-15-11-73-7-5-3-2-86-59-87-75-10-54-1-46-60-4-17-77-25-58-d
2	o-72-36-39-42-45-69-64-23-67-76-40-41-81-90-66-68-55-43-35-70-37-100-d
3	o-61-44-38-88-78-79-6-8-74-13-d
4	o-99-53-9-d
5	o-84-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
