Evaluation
Total Distance	2476.896306499206
Used Vehicle Number	5

VehicleID	CustomerID
0	o-83-95-92-63-31-28-27-29-33-62-94-30-34-26-50-18-48-21-51-20-49-56-32-85-24-74-13-17-77-25-89-91-d
1	o-82-52-59-12-65-98-14-47-16-15-11-73-86-19-22-57-87-9-75-10-7-46-60-97-3-70-37-1-100-d
2	o-2-72-36-39-42-69-61-44-71-38-40-41-6-8-78-5-96-54-68-55-35-43-58-80-93-d
3	o-45-23-64-67-76-99-79-81-90-66-4-d
4	o-88-53-84-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
