Evaluation
Total Distance	2201.63050812849
Used Vehicle Number	5

VehicleID	CustomerID
0	o-98-82-14-47-12-2-5-45-69-61-44-72-38-3-8-79-73-78-7-6-46-96-54-37-43-35-4-17-60-70-100-1-d
1	o-52-83-21-59-75-16-15-11-23-18-19-76-22-86-87-9-48-49-20-57-10-24-97-13-91-77-25-89-d
2	o-92-95-63-31-28-27-29-33-64-62-30-34-50-67-71-94-51-85-84-90-56-66-68-55-74-32-26-80-93-d
3	o-65-42-39-36-81-88-41-40-58-d
4	o-99-53-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
