Evaluation
Total Distance	1560.732787096381
Used Vehicle Number	11

VehicleID	CustomerID
0	o-55-54-53-58-60-56-48-51-59-80-69-d
1	o-65-63-62-67-74-61-72-77-79-89-91-d
2	o-17-18-19-13-16-15-12-14-99-d
3	o-96-95-94-92-93-97-100-4-2-d
4	o-78-76-70-73-71-82-84-85-88-1-d
5	o-42-41-57-40-44-46-45-68-64-50-66-d
6	o-3-7-8-10-9-6-11-28-36-34-49-52-d
7	o-32-31-35-33-38-37-30-39-23-47-d
8	o-86-83-87-81-29-22-26-75-21-d
9	o-20-5-98-90-27-d
10	o-43-25-24-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
