Evaluation
Total Distance	1492.4688797467484
Used Vehicle Number	12

VehicleID	CustomerID
0	o-95-94-92-93-97-100-99-12-75-d
1	o-57-55-54-53-56-44-45-48-51-50-47-d
2	o-42-40-41-46-35-60-58-59-68-52-49-d
3	o-81-78-76-70-73-77-72-61-64-66-69-d
4	o-96-98-86-82-83-85-84-88-89-2-1-d
5	o-33-32-29-30-19-39-38-36-34-21-d
6	o-87-90-71-62-74-79-80-4-91-d
7	o-25-27-37-31-14-15-28-26-23-22-d
8	o-13-17-18-16-8-10-11-9-6-d
9	o-20-5-3-7-d
10	o-67-65-63-43-d
11	o-24-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
