Evaluation
Total Distance	1778.878993780399
Used Vehicle Number	11

VehicleID	CustomerID
0	o-95-94-92-93-97-100-99-2-1-d
1	o-5-7-8-3-16-14-11-9-12-4-75-d
2	o-18-19-15-17-30-10-28-6-89-91-69-d
3	o-25-33-35-13-29-37-38-39-d
4	o-24-32-31-20-27-26-51-34-36-50-52-d
5	o-57-54-53-55-44-45-48-59-23-22-21-d
6	o-43-42-41-56-40-46-58-60-80-66-47-d
7	o-81-78-76-70-73-77-72-61-64-68-49-d
8	o-63-65-71-74-62-84-79-d
9	o-90-86-83-67-85-82-88-d
10	o-98-96-87-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
