Evaluation
Total Distance	1842.812693208891
Used Vehicle Number	10

VehicleID	CustomerID
0	o-24-33-35-20-30-29-38-39-36-34-52-d
1	o-67-63-62-65-72-74-73-77-79-80-91-d
2	o-3-7-8-5-94-92-93-97-100-99-1-d
3	o-42-41-40-43-45-44-58-60-59-51-50-49-d
4	o-32-31-37-25-27-26-23-28-12-75-d
5	o-87-86-83-90-71-82-84-85-88-89-69-d
6	o-17-18-19-13-16-15-11-14-4-66-d
7	o-81-96-95-98-70-61-64-68-22-47-d
8	o-57-54-53-55-46-56-9-48-d
9	o-76-10-78-2-6-21-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
