Evaluation
Total Distance	1363.489015144653
Used Vehicle Number	11

VehicleID	CustomerID
0	o-81-78-76-71-73-70-79-77-88-80-69-d
1	o-55-57-54-53-56-58-59-60-d
2	o-96-95-94-93-97-92-85-99-100-d
3	o-32-33-31-35-37-39-38-34-36-d
4	o-17-18-19-15-14-12-16-9-6-4-d
5	o-90-86-87-83-84-82-72-61-91-89-1-75-d
6	o-3-8-10-13-30-28-11-26-23-2-21-d
7	o-20-5-7-98-62-74-68-66-64-50-52-d
8	o-43-41-40-42-44-46-45-48-49-51-22-47-d
9	o-67-65-24-25-27-29-d
10	o-63-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
