Evaluation
Total Distance	1144.7918011187244
Used Vehicle Number	4

VehicleID	CustomerID
0	o-93-5-75-2-1-100-99-92-97-95-94-98-7-3-4-91-89-84-88-86-82-83-85-70-71-80-79-81-73-96-77-78-87-90-d
1	o-29-30-27-33-35-37-32-38-31-6-34-36-26-18-23-28-39-14-16-12-15-17-13-19-21-8-11-10-9-25-42-41-48-d
2	o-67-62-72-61-22-24-64-65-49-20-55-58-56-53-54-40-44-57-59-60-50-51-45-46-43-47-52-d
3	o-74-63-69-68-66-76-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
