Evaluation
Total Distance	1040.4678056749644
Used Vehicle Number	4

VehicleID	CustomerID
0	o-29-30-27-6-33-35-37-32-38-36-39-34-28-26-31-53-56-58-59-57-60-46-44-40-51-45-42-47-52-50-48-41-96-d
1	o-93-5-75-2-1-99-100-97-92-94-95-98-7-3-4-89-91-88-86-84-83-82-76-85-71-73-79-70-81-80-77-87-78-90-d
2	o-67-74-72-63-62-66-64-61-68-49-55-54-65-23-19-16-14-12-15-17-9-13-18-43-21-8-10-11-25-d
3	o-20-22-24-69-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
