Evaluation
Total Distance	1187.88904288719
Used Vehicle Number	4

VehicleID	CustomerID
0	o-93-75-5-1-2-99-100-92-97-95-94-98-7-3-4-91-89-84-88-86-82-83-85-70-71-80-79-81-73-96-77-78-87-d
1	o-67-74-72-63-62-66-64-61-68-49-55-54-65-60-58-56-53-44-40-57-59-50-51-45-46-43-41-48-52-47-42-11-9-21-d
2	o-27-30-29-33-35-24-22-6-31-32-36-34-26-28-39-38-37-14-16-19-18-23-25-10-13-12-15-8-17-90-d
3	o-69-20-76-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
