Evaluation
Total Distance	1075.9843217475222
Used Vehicle Number	4

VehicleID	CustomerID
0	o-5-75-2-1-99-100-97-92-94-95-98-7-3-4-89-91-88-84-83-86-82-85-76-71-73-80-79-70-77-78-81-90-87-96-d
1	o-62-74-63-64-61-72-66-69-65-49-55-54-53-56-58-59-57-40-44-46-45-60-26-18-52-50-51-47-43-41-42-21-48-d
2	o-29-30-27-24-6-33-31-35-37-32-36-39-34-28-23-19-38-14-12-17-15-13-9-25-16-8-10-11-d
3	o-67-93-20-22-68-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
