Evaluation
Total Distance	886.0489396711005
Used Vehicle Number	4

VehicleID	CustomerID
0	o-29-30-27-24-6-33-31-35-37-38-32-39-36-26-28-34-60-18-23-16-14-12-15-19-17-13-9-25-21-10-11-90-8-d
1	o-93-5-75-2-1-99-100-97-92-94-95-98-7-3-4-89-91-88-84-83-86-82-85-76-71-70-73-79-80-77-78-81-96-87-d
2	o-62-74-63-67-64-61-72-66-69-68-65-49-55-54-58-56-53-59-57-44-40-46-45-51-50-52-47-43-42-41-48-d
3	o-22-20-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
