Evaluation
Total Distance	1868.405023924327
Used Vehicle Number	21

VehicleID	CustomerID
0	o-65-71-9-34-35-77-d
1	o-63-64-49-32-70-d
2	o-39-23-67-56-74-25-d
3	o-14-44-38-43-91-100-d
4	o-36-47-19-90-66-1-58-d
5	o-45-82-7-8-46-17-93-d
6	o-92-42-98-16-86-37-60-89-d
7	o-62-11-10-48-d
8	o-33-30-51-20-80-d
9	o-28-29-78-3-68-24-d
10	o-72-75-73-22-55-4-d
11	o-59-95-15-41-97-13-d
12	o-27-12-76-81-50-d
13	o-69-79-54-d
14	o-5-83-61-85-96-d
15	o-2-99-84-d
16	o-21-87-57-d
17	o-31-88-6-26-d
18	o-52-18-d
19	o-40-94-d
20	o-53-d
21	o-d
22	o-d
23	o-d
24	o-d
