Evaluation
Total Distance	2037.870494526549
Used Vehicle Number	21

VehicleID	CustomerID
0	o-65-71-9-66-1-70-d
1	o-42-2-75-22-56-74-25-d
2	o-33-29-79-3-35-77-d
3	o-39-23-67-55-4-80-d
4	o-59-5-83-16-86-43-91-100-d
5	o-14-98-61-6-37-17-93-d
6	o-36-47-7-8-46-48-58-d
7	o-63-64-90-10-32-d
8	o-62-11-49-60-89-d
9	o-72-12-76-34-68-d
10	o-92-95-15-87-57-97-13-d
11	o-45-82-18-84-96-d
12	o-31-19-20-d
13	o-28-21-73-41-54-24-d
14	o-27-69-40-53-26-d
15	o-30-51-50-d
16	o-44-38-d
17	o-52-88-94-d
18	o-78-d
19	o-81-d
20	o-99-85-d
21	o-d
22	o-d
23	o-d
24	o-d
