Evaluation
Total Distance	2123.151290283171
Used Vehicle Number	22

VehicleID	CustomerID
0	o-14-98-44-86-43-91-100-d
1	o-92-95-15-41-56-74-25-d
2	o-39-23-22-55-4-80-d
3	o-65-71-9-34-35-77-d
4	o-33-30-51-66-1-70-d
5	o-59-42-38-37-17-93-d
6	o-5-52-88-49-48-58-d
7	o-36-47-19-90-10-32-d
8	o-72-2-87-57-97-13-89-d
9	o-27-69-76-79-3-68-24-d
10	o-28-21-40-53-50-d
11	o-45-83-16-94-96-60-d
12	o-82-18-84-d
13	o-67-54-d
14	o-63-62-11-46-d
15	o-61-85-26-d
16	o-31-7-8-d
17	o-99-6-d
18	o-12-78-20-d
19	o-29-81-d
20	o-75-73-d
21	o-64-d
22	o-d
23	o-d
24	o-d
