Evaluation
Total Distance	2043.1909020175985
Used Vehicle Number	23

VehicleID	CustomerID
0	o-42-2-75-57-43-91-58-d
1	o-14-98-16-86-37-17-93-d
2	o-92-5-44-38-97-60-100-d
3	o-63-64-90-20-32-70-d
4	o-33-29-78-34-24-80-d
5	o-65-79-3-35-77-d
6	o-45-47-19-46-13-89-d
7	o-39-23-67-55-4-25-d
8	o-36-11-49-48-d
9	o-28-71-9-66-1-d
10	o-72-21-73-22-56-74-d
11	o-31-30-81-50-68-d
12	o-27-12-76-54-d
13	o-59-95-99-85-96-d
14	o-15-41-26-d
15	o-62-88-7-10-d
16	o-83-61-84-d
17	o-82-94-d
18	o-52-18-6-d
19	o-69-8-d
20	o-40-53-d
21	o-87-d
22	o-51-d
23	o-d
24	o-d
