Evaluation
Total Distance	2060.9445045975745
Used Vehicle Number	4

VehicleID	CustomerID
0	o-21-48-85-63-50-34-31-33-28-27-29-30-76-51-19-18-75-59-22-49-20-97-52-83-56-95-32-89-25-26-d
1	o-37-36-72-94-92-91-64-23-15-11-16-86-87-9-99-82-57-84-66-98-10-24-74-17-13-12-58-77-80-d
2	o-2-7-45-5-3-1-42-39-96-71-67-38-44-40-41-79-6-8-46-43-54-4-60-55-35-70-100-93-d
3	o-65-14-47-69-62-61-88-78-73-81-90-53-68-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
