Evaluation
Total Distance	2041.5152651107496
Used Vehicle Number	5

VehicleID	CustomerID
0	o-96-94-92-95-85-63-34-31-26-33-28-27-29-30-76-51-19-18-86-49-22-57-52-10-97-20-32-50-89-48-21-25-77-75-58-59-80-d
1	o-98-12-14-82-65-7-47-15-11-16-23-87-9-99-53-83-84-72-37-43-35-54-74-24-100-70-93-91-d
2	o-42-36-39-1-3-5-45-69-62-71-44-38-40-41-78-79-8-6-46-66-4-68-55-60-13-17-2-d
3	o-64-67-88-81-61-90-56-d
4	o-73-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
