Evaluation
Total Distance	2174.960939303673
Used Vehicle Number	4

VehicleID	CustomerID
0	o-52-12-14-2-7-45-5-3-44-72-71-37-38-40-41-78-79-8-6-46-59-97-10-13-17-4-60-82-98-100-70-1-d
1	o-50-85-63-48-21-75-47-15-16-11-73-99-22-18-86-87-9-57-20-49-83-66-56-95-34-31-32-89-24-25-26-d
2	o-96-42-94-92-91-33-28-27-29-30-23-76-19-84-51-53-55-54-35-43-58-77-80-93-d
3	o-65-39-36-69-64-67-62-88-61-90-81-74-68-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
