Evaluation
Total Distance	2188.251192560641
Used Vehicle Number	5

VehicleID	CustomerID
0	o-59-75-65-83-62-48-21-23-19-76-85-51-18-22-57-87-86-9-12-10-97-20-74-13-17-24-89-25-77-58-52-d
1	o-31-26-50-92-34-33-29-27-30-28-72-71-94-67-41-96-91-84-49-66-56-37-35-32-93-70-100-80-95-d
2	o-5-3-1-36-39-42-69-44-61-38-40-73-78-79-8-7-6-46-98-82-55-54-43-60-4-2-d
3	o-45-47-14-64-11-16-15-99-88-81-90-53-68-d
4	o-63-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
