Evaluation
Total Distance	2174.0916182569667
Used Vehicle Number	5

VehicleID	CustomerID
0	o-85-63-50-34-31-26-33-28-27-29-62-76-19-23-18-48-21-75-59-49-22-57-20-97-52-83-56-32-89-24-25-77-58-95-91-d
1	o-82-12-2-7-1-3-45-47-15-16-11-88-73-79-78-9-53-8-6-46-96-72-37-43-35-60-4-17-100-70-5-d
2	o-65-92-94-36-39-42-44-71-67-38-40-61-41-81-90-84-10-54-66-98-55-68-80-93-d
3	o-14-64-69-30-99-86-51-13-74-d
4	o-87-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
