Evaluation
Total Distance	1048.677213432611
Used Vehicle Number	3

VehicleID	CustomerID
0	o-93-5-24-75-2-1-99-100-97-92-94-95-98-7-3-4-89-91-88-84-86-40-83-82-85-76-71-70-73-80-79-81-78-77-21-96-87-d
1	o-22-20-62-27-30-29-64-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-44-16-14-12-15-17-13-25-9-11-10-8-90-d
2	o-67-63-74-72-61-66-69-68-65-49-55-54-53-56-58-60-59-57-46-45-51-50-52-47-43-42-41-48-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
