Evaluation
Total Distance	1139.7349427243148
Used Vehicle Number	4

VehicleID	CustomerID
0	o-75-2-99-100-97-92-94-1-98-7-3-4-89-95-91-84-86-83-82-88-71-76-70-73-85-80-79-87-77-78-81-90-96-d
1	o-93-30-29-27-32-33-5-6-31-35-36-39-38-37-26-28-34-19-18-23-12-14-16-13-17-15-10-11-25-9-21-48-8-d
2	o-67-72-61-64-22-24-20-69-49-55-65-68-54-60-58-56-53-44-40-57-59-50-51-45-46-43-41-52-47-42-d
3	o-63-74-66-62-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
