Evaluation
Total Distance	1122.3552133374767
Used Vehicle Number	4

VehicleID	CustomerID
0	o-75-2-99-100-97-92-93-98-7-3-4-94-95-89-91-84-83-82-85-88-86-76-73-70-79-71-80-87-77-78-81-96-90-d
1	o-22-27-29-6-32-33-20-31-37-38-39-36-35-28-26-23-18-34-14-16-12-15-19-25-9-13-17-21-8-10-11-41-48-d
2	o-63-74-72-61-64-62-67-68-65-49-66-69-55-54-58-60-56-53-40-57-59-45-46-44-52-50-51-47-43-42-d
3	o-24-30-1-5-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
