Evaluation
Total Distance	973.1319404543527
Used Vehicle Number	5

VehicleID	CustomerID
0	o-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-25-9-11-10-8-13-43-42-41-21-d
1	o-72-61-64-62-74-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-51-50-52-47-76-71-80-70-73-79-81-78-48-d
2	o-75-2-1-100-97-92-94-95-99-7-3-4-89-91-98-84-86-83-82-88-85-87-96-90-77-d
3	o-93-22-20-63-66-69-5-d
4	o-67-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
