Evaluation
Total Distance	1008.9988517215122
Used Vehicle Number	4

VehicleID	CustomerID
0	o-75-2-1-99-100-97-92-94-95-98-7-3-4-89-91-88-84-86-83-82-85-76-71-73-80-79-81-78-70-90-96-87-77-8-d
1	o-63-72-61-64-62-74-66-68-65-49-55-54-53-56-58-59-57-40-44-46-60-45-50-52-47-43-51-13-25-48-41-42-21-d
2	o-22-24-27-30-29-6-32-33-31-35-37-39-36-34-28-38-18-19-23-26-15-12-14-16-9-11-10-17-d
3	o-67-20-5-93-69-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
