Evaluation
Total Distance	1551.6306584973179
Used Vehicle Number	11

VehicleID	CustomerID
0	o-20-24-31-35-37-38-39-36-48-50-52-34-d
1	o-67-55-54-53-56-58-60-59-82-72-d
2	o-43-42-41-40-44-46-45-64-68-66-69-47-d
3	o-90-87-86-71-70-73-77-79-80-85-83-d
4	o-57-5-3-75-1-2-98-96-95-94-91-d
5	o-13-17-18-19-15-16-14-26-12-d
6	o-32-33-7-10-11-9-6-4-22-49-21-d
7	o-81-78-76-74-84-97-100-99-d
8	o-65-63-62-29-30-28-23-d
9	o-25-27-92-93-88-89-d
10	o-8-61-51-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
