Evaluation
Total Distance	1442.5067602398901
Used Vehicle Number	12

VehicleID	CustomerID
0	o-81-78-76-71-70-73-77-79-80-83-82-91-d
1	o-13-17-18-19-15-16-14-96-12-d
2	o-59-55-54-53-56-58-60-31-50-48-d
3	o-85-87-86-94-92-95-97-100-99-1-72-d
4	o-2-98-8-10-11-9-6-4-7-75-5-3-d
5	o-52-33-37-35-34-38-39-36-66-21-26-d
6	o-20-24-25-27-29-30-28-23-22-69-49-d
7	o-67-65-63-62-74-84-88-89-d
8	o-57-41-40-44-46-45-64-68-47-d
9	o-32-42-61-51-d
10	o-90-93-d
11	o-43-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
