Evaluation
Total Distance	1937.350326462079
Used Vehicle Number	13

VehicleID	CustomerID
0	o-98-95-94-96-92-93-97-2-1-d
1	o-12-17-18-19-15-16-14-7-5-3-d
2	o-13-75-8-10-11-9-6-4-82-85-91-d
3	o-20-24-31-35-37-38-39-36-48-50-52-34-d
4	o-26-33-59-72-58-60-79-66-83-21-d
5	o-32-25-27-29-30-28-23-22-69-49-d
6	o-57-55-40-44-46-45-64-68-47-d
7	o-43-42-41-53-56-61-88-89-d
8	o-81-54-71-70-73-77-51-d
9	o-90-78-62-74-84-100-99-d
10	o-67-65-63-80-d
11	o-87-76-d
12	o-86-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
