Evaluation
Total Distance	1563.3595053527113
Used Vehicle Number	11

VehicleID	CustomerID
0	o-81-78-76-71-70-73-77-79-80-83-82-91-d
1	o-59-55-54-53-56-58-60-31-50-48-d
2	o-94-95-96-98-92-93-97-100-99-1-d
3	o-37-33-35-34-38-39-36-12-26-52-d
4	o-13-17-18-19-15-16-14-2-d
5	o-57-42-40-74-84-85-75-72-d
6	o-32-24-27-29-30-28-6-4-7-3-5-21-d
7	o-90-87-86-44-46-61-88-89-69-49-47-d
8	o-43-41-62-10-45-64-51-66-d
9	o-67-65-63-8-11-9-68-22-d
10	o-20-25-23-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
