Evaluation
Total Distance	1743.0999193583348
Used Vehicle Number	13

VehicleID	CustomerID
0	o-31-37-34-35-59-60-48-50-52-26-21-d
1	o-98-95-94-96-92-93-12-2-3-5-d
2	o-83-82-76-71-70-73-85-91-75-1-7-d
3	o-57-54-53-44-45-64-51-72-49-47-d
4	o-43-55-40-56-58-61-68-66-69-d
5	o-20-24-25-27-29-30-39-36-22-d
6	o-81-78-62-74-84-77-79-80-d
7	o-13-18-19-15-16-97-100-99-d
8	o-90-87-86-10-11-9-88-89-d
9	o-67-17-8-14-6-4-d
10	o-32-33-46-28-23-d
11	o-42-41-38-d
12	o-65-63-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
