Evaluation
Total Distance	1581.6978389846465
Used Vehicle Number	13

VehicleID	CustomerID
0	o-27-33-71-9-65-66-35-77-d
1	o-63-11-19-64-49-46-48-89-d
2	o-72-75-39-23-67-56-4-55-25-d
3	o-92-14-44-16-86-38-43-91-100-93-d
4	o-83-82-45-47-36-10-32-70-d
5	o-28-29-78-81-79-3-34-68-24-d
6	o-62-31-30-51-90-20-1-58-d
7	o-59-98-42-57-15-41-54-74-d
8	o-95-5-61-85-84-8-60-37-17-d
9	o-2-21-73-40-53-22-97-13-d
10	o-52-69-88-7-18-6-96-80-d
11	o-12-99-94-87-26-d
12	o-76-50-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
