Evaluation
Total Distance	1607.7801919682927
Used Vehicle Number	13

VehicleID	CustomerID
0	o-14-44-38-61-86-91-100-17-d
1	o-83-45-47-82-8-48-46-60-89-d
2	o-92-98-42-16-84-85-37-43-93-d
3	o-72-75-23-67-39-25-56-74-58-d
4	o-62-63-64-11-90-66-32-70-d
5	o-2-21-73-41-40-53-55-4-d
6	o-5-36-19-49-10-1-77-d
7	o-27-59-99-95-87-6-94-97-96-13-d
8	o-28-12-15-57-22-54-24-80-d
9	o-29-71-78-79-34-35-d
10	o-33-65-51-81-9-20-d
11	o-76-69-30-50-3-68-d
12	o-52-88-31-7-18-26-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
