Evaluation
Total Distance	1945.3847462618637
Used Vehicle Number	17

VehicleID	CustomerID
0	o-28-33-27-10-90-20-32-70-d
1	o-59-92-98-99-95-38-43-91-100-93-d
2	o-62-63-31-88-49-48-60-89-d
3	o-83-45-69-51-9-34-35-77-d
4	o-72-39-2-41-57-56-74-58-d
5	o-5-82-7-52-18-8-46-17-d
6	o-14-44-16-42-86-37-96-13-d
7	o-23-75-15-22-4-55-25-d
8	o-29-73-21-40-24-54-80-d
9	o-76-79-12-68-3-50-1-d
10	o-36-64-11-66-d
11	o-65-71-30-26-d
12	o-19-47-84-6-97-d
13	o-85-61-87-d
14	o-67-78-d
15	o-53-81-d
16	o-94-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
