Evaluation
Total Distance	1979.3824007672372
Used Vehicle Number	14

VehicleID	CustomerID
0	o-92-67-62-95-28-26-27-33-d
1	o-65-83-52-99-82-15-13-9-10-17-d
2	o-88-14-98-53-79-78-60-100-d
3	o-45-5-8-2-6-7-46-3-1-4-d
4	o-38-36-35-72-43-40-37-39-68-d
5	o-44-42-41-61-81-54-93-55-70-d
6	o-31-29-71-34-30-32-d
7	o-69-11-47-16-12-87-97-58-d
8	o-23-21-76-63-85-84-89-d
9	o-77-25-18-19-49-20-22-24-48-d
10	o-59-74-75-56-66-91-80-d
11	o-64-73-57-d
12	o-86-51-50-d
13	o-94-90-96-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
