Evaluation
Total Distance	1721.4760043046974
Used Vehicle Number	13

VehicleID	CustomerID
0	o-2-5-45-4-7-8-46-3-6-1-d
1	o-15-16-17-47-14-10-11-13-9-74-d
2	o-69-88-78-73-12-87-97-58-d
3	o-64-21-23-25-19-18-20-49-48-24-d
4	o-95-63-76-51-89-22-56-91-80-d
5	o-30-28-27-29-31-32-26-33-d
6	o-92-67-84-85-62-50-34-93-68-d
7	o-38-39-41-42-44-40-36-43-37-35-d
8	o-65-59-86-52-99-57-77-d
9	o-98-79-100-70-53-55-60-d
10	o-72-71-94-81-96-54-66-d
11	o-82-83-61-90-d
12	o-75-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
