Evaluation
Total Distance	1679.5899637618606
Used Vehicle Number	13

VehicleID	CustomerID
0	o-30-28-27-29-31-32-26-33-80-d
1	o-59-58-77-75-97-10-13-d
2	o-63-76-23-21-18-48-89-d
3	o-64-19-51-85-50-34-93-d
4	o-83-99-52-74-86-22-49-20-24-25-d
5	o-38-39-41-42-44-40-36-43-37-35-d
6	o-11-15-14-47-17-16-87-9-60-d
7	o-2-45-8-4-3-5-1-46-6-70-100-d
8	o-88-12-78-79-73-53-68-55-d
9	o-69-98-82-65-7-54-91-d
10	o-92-95-67-71-94-84-62-66-56-d
11	o-61-72-81-96-d
12	o-90-57-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
