Evaluation
Total Distance	1638.046611345241
Used Vehicle Number	13

VehicleID	CustomerID
0	o-30-28-29-31-26-27-32-33-80-d
1	o-2-5-45-4-8-46-3-1-100-70-68-d
2	o-88-6-7-79-73-17-78-60-55-d
3	o-95-62-63-85-89-76-48-91-d
4	o-72-36-71-34-93-d
5	o-21-23-18-25-77-58-74-66-d
6	o-92-67-84-51-19-49-20-22-24-56-d
7	o-11-15-12-14-47-16-97-10-13-d
8	o-38-40-35-41-42-44-43-37-39-d
9	o-69-98-82-61-81-94-96-54-d
10	o-59-75-87-86-9-d
11	o-83-64-99-52-57-50-d
12	o-65-90-53-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
