Evaluation
Total Distance	1349.532223708598
Used Vehicle Number	5

VehicleID	CustomerID
0	o-82-3-7-98-94-95-100-97-92-91-96-85-83-4-89-88-84-86-18-19-16-14-12-15-17-13-25-9-11-5-75-2-1-d
1	o-52-37-31-34-26-29-6-32-33-35-49-59-54-53-56-58-60-57-40-44-46-72-45-51-48-47-43-42-41-78-77-50-d
2	o-20-22-24-27-30-61-64-66-69-68-65-55-38-39-36-28-23-21-76-71-70-73-80-79-81-10-8-90-87-d
3	o-67-63-62-74-99-d
4	o-93-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
