Evaluation
Total Distance	1376.2484363341027
Used Vehicle Number	5

VehicleID	CustomerID
0	o-83-85-82-3-7-98-97-94-92-35-37-38-39-36-28-26-23-18-19-12-16-14-15-17-13-25-9-11-10-5-2-1-95-d
1	o-91-75-96-74-99-100-32-33-34-31-52-50-59-56-58-60-57-40-44-46-45-51-71-70-73-80-79-81-78-72-48-21-d
2	o-22-24-27-30-29-6-64-68-65-49-55-54-53-4-89-88-84-86-76-47-43-42-41-77-8-87-90-d
3	o-67-63-62-61-66-69-d
4	o-20-93-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
