Evaluation
Total Distance	1519.991962088933
Used Vehicle Number	4

VehicleID	CustomerID
0	o-98-95-94-1-99-100-97-92-12-26-34-38-39-36-28-37-31-52-50-44-59-46-51-70-73-79-81-85-78-77-72-48-d
1	o-96-63-62-74-61-64-66-69-68-65-49-55-54-53-56-58-60-88-91-86-83-82-76-71-3-7-2-5-75-10-8-87-21-d
2	o-93-22-24-27-30-29-6-32-33-35-4-89-84-57-40-45-15-17-80-43-42-41-90-d
3	o-20-67-23-18-19-16-14-13-25-47-9-11-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
