Evaluation
Total Distance	1182.3338019828232
Used Vehicle Number	4

VehicleID	CustomerID
0	o-85-82-83-1-99-100-97-92-94-95-98-3-7-4-91-89-88-84-86-96-72-59-76-71-70-73-80-79-81-78-77-90-87-d
1	o-63-62-74-52-50-61-64-66-69-68-65-49-55-54-53-56-58-60-57-40-44-46-48-45-51-13-12-9-11-26-34-37-31-d
2	o-20-22-24-27-30-29-6-32-33-21-35-38-39-36-28-75-5-23-18-19-16-14-15-17-25-47-42-41-10-8-2-d
3	o-67-93-43-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
