Evaluation
Total Distance	1421.5583051849992
Used Vehicle Number	4

VehicleID	CustomerID
0	o-2-93-7-98-94-95-100-97-92-91-83-85-82-4-3-1-12-18-19-16-14-26-15-17-13-25-9-11-10-8-21-5-75-d
1	o-34-20-24-27-37-29-6-32-33-31-35-38-39-36-56-59-60-57-40-44-46-72-45-51-50-47-43-42-41-77-96-48-52-d
2	o-63-67-62-74-61-64-66-69-68-65-49-55-54-53-89-28-23-86-76-71-70-73-80-79-81-78-90-87-d
3	o-22-30-99-58-88-84-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
