Evaluation
Total Distance	1287.88333933021
Used Vehicle Number	3

VehicleID	CustomerID
0	o-69-62-11-47-36-19-64-63-65-71-9-78-81-33-51-30-90-49-46-8-48-31-70-20-77-3-79-68-80-24-34-35-66-32-10-50-4-25-55-54-74-1-d
1	o-27-82-45-83-5-16-38-15-23-42-14-44-61-86-85-98-92-59-99-84-18-7-88-52-60-93-37-100-91-43-41-22-56-57-26-58-13-97-96-89-17-d
2	o-95-2-72-39-75-67-29-76-12-28-53-40-6-94-87-73-21-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
