Evaluation
Total Distance	1314.9755539516175
Used Vehicle Number	3

VehicleID	CustomerID
0	o-31-62-11-63-30-71-65-29-51-9-78-81-33-64-90-19-49-36-46-86-17-45-8-48-47-10-70-20-3-68-24-34-77-35-66-1-32-60-d
1	o-52-95-92-59-2-72-23-67-39-75-41-15-38-98-85-61-16-44-14-100-42-57-43-73-21-80-54-55-25-4-56-74-22-26-58-13-89-96-93-91-37-97-d
2	o-28-27-5-83-82-88-69-7-99-18-6-84-94-87-40-53-76-79-50-12-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
