Evaluation
Total Distance	1370.0451429100337
Used Vehicle Number	3

VehicleID	CustomerID
0	o-31-62-63-11-47-36-19-64-30-51-9-29-79-78-81-33-71-34-66-10-90-32-20-35-65-24-39-25-55-54-68-3-50-1-70-74-56-4-58-80-77-d
1	o-52-83-45-75-23-2-95-92-86-38-15-57-42-14-44-16-61-85-98-59-99-5-84-8-82-7-18-60-17-46-48-49-89-13-96-93-37-100-97-43-91-d
2	o-28-69-27-72-21-12-76-88-73-40-41-22-87-94-6-53-26-67-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
