Evaluation
Total Distance	1763.9249643778667
Used Vehicle Number	18

VehicleID	CustomerID
0	o-92-95-59-98-44-38-43-74-58-d
1	o-45-5-61-16-86-97-37-100-91-93-d
2	o-14-42-15-22-41-56-4-25-d
3	o-72-39-23-67-54-55-24-80-d
4	o-28-27-69-30-90-66-35-77-d
5	o-33-65-71-9-34-68-1-70-d
6	o-63-11-64-49-46-17-89-d
7	o-83-36-19-10-32-48-d
8	o-2-73-21-57-96-13-60-d
9	o-62-31-88-7-20-d
10	o-82-47-8-84-d
11	o-52-12-78-3-d
12	o-29-76-79-50-26-d
13	o-75-40-87-d
14	o-85-99-94-d
15	o-18-6-d
16	o-81-51-d
17	o-53-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
