Evaluation
Total Distance	1758.8910916751593
Used Vehicle Number	16

VehicleID	CustomerID
0	o-72-39-23-67-56-55-4-25-d
1	o-33-28-12-76-50-3-68-24-80-d
2	o-65-71-9-20-66-35-77-d
3	o-45-36-19-8-46-17-100-d
4	o-29-79-78-81-34-1-70-d
5	o-63-11-64-49-10-32-d
6	o-14-42-15-22-41-43-91-93-d
7	o-92-59-98-44-38-86-37-60-89-58-d
8	o-62-31-88-90-48-d
9	o-5-83-61-16-85-84-96-13-d
10	o-95-21-75-73-57-97-d
11	o-47-82-7-18-26-54-d
12	o-27-52-69-30-74-d
13	o-2-99-94-87-d
14	o-40-53-6-d
15	o-51-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
