Evaluation
Total Distance	1610.305940316598
Used Vehicle Number	15

VehicleID	CustomerID
0	o-42-2-15-57-41-43-100-58-d
1	o-33-29-79-78-81-3-68-24-77-d
2	o-92-14-16-38-86-17-91-93-d
3	o-63-64-11-90-66-32-70-d
4	o-65-71-9-51-34-35-80-d
5	o-45-36-8-84-37-96-60-89-d
6	o-72-39-23-67-56-55-4-25-d
7	o-83-47-19-49-46-48-d
8	o-62-88-30-20-10-1-d
9	o-59-95-98-44-85-87-97-13-d
10	o-28-21-73-75-22-54-74-d
11	o-27-69-12-76-50-26-d
12	o-5-61-99-6-94-d
13	o-82-40-53-d
14	o-31-52-7-18-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
