Evaluation
Total Distance	1861.258911363492
Used Vehicle Number	17

VehicleID	CustomerID
0	o-65-71-9-66-35-1-d
1	o-92-42-2-75-22-41-56-74-25-d
2	o-33-29-79-78-81-3-68-24-80-d
3	o-72-39-23-67-55-54-4-77-d
4	o-59-95-5-61-16-86-43-100-91-93-d
5	o-14-44-85-99-6-97-37-17-d
6	o-36-47-19-7-46-60-48-d
7	o-45-83-82-18-8-10-70-58-d
8	o-63-64-11-49-32-89-d
9	o-28-69-12-40-26-13-d
10	o-98-15-87-57-96-d
11	o-31-30-51-34-20-d
12	o-27-73-21-94-d
13	o-52-38-d
14	o-76-90-50-d
15	o-62-88-53-d
16	o-84-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
