Evaluation
Total Distance	1663.56656319173
Used Vehicle Number	15

VehicleID	CustomerID
0	o-33-65-71-9-34-35-1-d
1	o-63-11-64-49-46-17-100-d
2	o-72-39-23-67-56-55-4-25-d
3	o-42-14-44-16-38-43-74-58-d
4	o-47-36-19-90-66-70-d
5	o-45-5-61-85-86-97-37-91-93-d
6	o-62-30-51-81-20-32-77-d
7	o-28-12-29-79-78-3-68-24-80-d
8	o-92-59-2-15-41-22-54-89-d
9	o-83-82-7-8-84-96-60-48-d
10	o-21-73-75-57-26-13-d
11	o-27-69-31-88-18-10-d
12	o-95-98-99-94-87-d
13	o-52-76-40-50-d
14	o-53-6-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
