Evaluation
Total Distance	1464.318372494612
Used Vehicle Number	12

VehicleID	CustomerID
0	o-33-78-9-35-71-20-66-65-d
1	o-62-11-63-90-49-36-64-d
2	o-39-23-75-56-55-25-67-4-58-d
3	o-44-14-100-61-16-86-38-42-91-d
4	o-69-70-30-51-81-79-3-34-68-24-d
5	o-47-19-8-45-17-46-48-60-d
6	o-2-41-22-74-72-73-57-15-43-93-d
7	o-27-88-31-7-82-18-10-32-1-d
8	o-28-76-12-77-29-50-54-80-13-d
9	o-59-98-92-99-5-83-6-84-89-d
10	o-95-21-40-87-85-96-97-37-d
11	o-52-53-94-26-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
