Evaluation
Total Distance	1652.4037366105856
Used Vehicle Number	14

VehicleID	CustomerID
0	o-42-14-38-16-86-44-43-100-91-d
1	o-72-75-23-67-25-55-4-56-39-d
2	o-29-78-35-34-80-26-24-d
3	o-30-63-64-49-36-11-32-70-d
4	o-15-41-22-74-73-57-92-37-60-93-d
5	o-59-98-5-61-85-87-99-97-17-89-d
6	o-69-31-62-88-52-7-48-46-45-13-d
7	o-65-71-66-51-9-77-33-1-d
8	o-27-95-28-79-76-3-54-68-d
9	o-2-21-12-53-40-96-6-58-d
10	o-83-82-8-19-47-10-d
11	o-81-50-20-d
12	o-84-90-d
13	o-18-94-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
