Evaluation
Total Distance	1527.8645691135368
Used Vehicle Number	14

VehicleID	CustomerID
0	o-33-65-35-71-66-20-32-70-1-d
1	o-95-42-15-2-41-57-43-91-100-d
2	o-69-78-79-9-34-3-24-68-77-d
3	o-72-75-39-25-55-67-23-56-4-d
4	o-27-83-45-17-84-5-38-92-93-d
5	o-59-14-44-16-86-85-99-6-89-60-d
6	o-36-47-19-7-49-64-48-d
7	o-82-63-11-46-8-58-13-d
8	o-31-30-51-90-88-62-10-d
9	o-28-76-29-80-12-54-50-d
10	o-52-98-61-18-96-97-37-d
11	o-22-74-21-73-40-26-d
12	o-87-94-53-d
13	o-81-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
