Evaluation
Total Distance	1379.2229601220931
Used Vehicle Number	12

VehicleID	CustomerID
0	o-45-19-47-46-49-36-48-89-d
1	o-2-15-41-22-75-23-67-39-56-58-d
2	o-42-14-38-16-86-44-43-100-13-d
3	o-33-65-35-71-66-20-32-70-1-d
4	o-5-83-17-84-61-85-93-91-37-92-60-d
5	o-28-78-9-29-79-34-24-68-77-d
6	o-27-72-21-73-74-25-55-4-54-80-d
7	o-88-62-11-63-90-30-10-64-d
8	o-59-99-98-95-87-57-97-6-96-d
9	o-69-12-76-51-81-3-26-d
10	o-31-52-7-82-8-50-d
11	o-40-18-94-53-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
