Evaluation
Total Distance	1884.4136890522834
Used Vehicle Number	15

VehicleID	CustomerID
0	o-27-69-30-28-78-79-35-77-d
1	o-59-100-44-95-86-38-42-91-d
2	o-70-63-31-62-90-66-32-1-d
3	o-88-11-52-7-64-36-d
4	o-72-23-2-41-43-15-74-58-d
5	o-83-45-47-82-8-48-46-17-60-d
6	o-92-14-16-85-98-99-84-37-13-93-d
7	o-39-67-21-73-22-25-56-d
8	o-33-29-80-12-4-55-54-24-68-d
9	o-76-40-75-57-97-96-89-d
10	o-5-6-61-87-53-26-d
11	o-19-18-49-d
12	o-9-65-71-34-d
13	o-51-81-10-20-d
14	o-94-3-50-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
