Evaluation
Total Distance	1408.626411342554
Used Vehicle Number	12

VehicleID	CustomerID
0	o-81-78-34-35-71-20-66-65-d
1	o-16-17-45-46-47-36-49-64-d
2	o-75-56-39-23-67-55-4-41-22-d
3	o-61-86-44-14-38-91-85-42-43-d
4	o-10-32-90-11-19-48-82-7-63-d
5	o-70-30-51-33-3-79-29-24-54-25-d
6	o-26-12-80-68-76-50-9-88-31-1-28-d
7	o-73-2-57-15-87-97-95-59-93-98-100-37-d
8	o-94-96-92-5-60-83-8-6-89-52-18-27-d
9	o-40-69-62-84-74-21-72-d
10	o-99-53-13-77-d
11	o-58-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
