Evaluation
Total Distance	1277.279220537082
Used Vehicle Number	11

VehicleID	CustomerID
0	o-78-34-35-71-65-66-20-32-1-d
1	o-37-14-43-15-41-22-75-56-74-57-2-d
2	o-54-24-29-79-81-9-51-30-33-3-d
3	o-73-72-39-23-67-55-4-25-80-d
4	o-61-16-86-44-38-91-17-45-5-6-d
5	o-10-90-63-11-64-49-36-47-19-7-d
6	o-60-83-82-48-46-8-88-31-70-18-d
7	o-28-26-50-68-76-40-21-77-12-d
8	o-96-59-93-85-98-42-87-97-95-13-d
9	o-94-92-89-52-99-84-100-27-d
10	o-69-62-53-58-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
